bodyPart,equipment,name,target
upper legs,body weight,squat to overhead reach with twist,legs
waist,stability ball,stability ball crunch (full range hands behind head),abs
upper arms,body weight,stalder press,arms
back,body weight,standing archer,back
shoulders,barbell,standing behind neck press,shoulders
lower legs,body weight,standing calf raise (on a staircase),legs
lower legs,body weight,standing calves,legs
lower legs,body weight,standing calves calf stretch,legs
upper legs,rope,standing hamstring and calf stretch with strap,legs
back,body weight,standing lateral stretch,back
back,body weight,standing pelvic tilt,back
upper legs,body weight,standing single leg curl,legs
waist,wheel roller,standing wheel rollerout,abs
cardio,body weight,star jump (male),cardio
cardio,stationary bike,stationary bike run v. 3,cardio
cardio,leverage machine,stationary bike walk,cardio
waist,body weight,straddle maltese,abs
waist,body weight,straddle planche,abs
upper legs,body weight,straight leg outer hip abductor,legs
chest,body weight,superman push-up,chest
waist,body weight,suspended abdominal fallout,abs
chest,body weight,suspended push-up,chest
waist,body weight,suspended reverse crunch,abs
back,body weight,suspended row,back
upper legs,body weight,suspended split squat,legs
upper legs,body weight,swimmer kicks v. 2 (male),legs
cardio,body weight,swing 360,cardio
upper arms,body weight,three bench dip,arms
upper legs,tire,tire flip,legs
upper legs,trap bar,trap bar deadlift,legs
upper arms,body weight,triceps dip,arms
upper arms,body weight,triceps dip (bench leg),arms
upper arms,body weight,triceps dip (between benches),arms
upper arms,body weight,triceps dips floor,arms
upper arms,body weight,triceps press,arms
upper arms,body weight,triceps stretch,arms
waist,body weight,tuck crunch,abs
back,cable,twin handle parallel grip lat pulldown,back
upper legs,body weight,twist hip lift,legs
waist,body weight,twisted leg raise,abs
waist,body weight,twisted leg raise (female),abs
back,body weight,two toe touch (male),back
back,body weight,upper back stretch,back
back,body weight,upward facing dog,back
waist,body weight,v-sit on floor,abs
waist,body weight,vertical leg raise (on parallel bars),abs
cardio,elliptical machine,walk elliptical cross trainer,cardio
cardio,body weight,walking high knees lunge,cardio
upper legs,body weight,walking lunge,legs
cardio,leverage machine,walking on incline treadmill,cardio
cardio,stepmill machine,walking on stepmill,cardio
upper arms,weighted,weighted bench dip,arms
back,weighted,weighted close grip chin-up on dip cage,back
upper legs,weighted,weighted cossack squats (male),legs
waist,weighted,weighted crunch,abs
waist,weighted,weighted decline sit-up,abs
lower legs,weighted,weighted donkey calf raise,legs
chest,weighted,weighted drop push up,chest
waist,weighted,weighted front plank,abs
shoulders,weighted,weighted front raise,shoulders
waist,weighted,weighted hanging leg-hip raise,abs
back,weighted,weighted hyperextension (on stability ball),back
shoulders,weighted,weighted kneeling step with swing,shoulders
upper legs,weighted,weighted lunge with swing,legs
back,weighted,weighted muscle up,back
back,weighted,weighted muscle up (on bar),back
back,weighted,weighted one hand pull up,back
waist,weighted,weighted overhead crunch (on stability ball),abs
back,weighted,weighted pull-up,back
shoulders,weighted,weighted round arm,shoulders
waist,weighted,weighted russian twist,abs
waist,weighted,weighted russian twist (legs up),abs
waist,weighted,weighted russian twist v. 2,abs
upper arms,medicine ball,weighted seated bicep curl  (on stability ball),arms
waist,weighted,weighted seated twist (on stability ball),abs
waist,weighted,weighted side bend (on stability ball),abs
upper legs,weighted,weighted sissy squat,legs
upper legs,weighted,weighted squat,legs
upper arms,weighted,weighted standing curl,arms
lower arms,weighted,weighted standing hand squeeze,arms
chest,weighted,weighted straight bar dip,chest
upper legs,weighted,weighted stretch lunge,legs
chest,weighted,weighted svend press,chest
upper arms,weighted,weighted three bench dips,arms
upper arms,weighted,weighted tricep dips,arms
upper arms,weighted,weighted triceps dip on high parallel bars,arms
waist,wheel roller,wheel rollerout,abs
cardio,body weight,wheel run,cardio
back,body weight,wide grip pull-up,back
back,body weight,wide grip rear pull-up,back
chest,body weight,wide hand push up,chest
chest,body weight,wide-grip chest dip on high parallel bars,chest
waist,body weight,wind sprints,abs
upper legs,body weight,world greatest stretch,legs
lower arms,body weight,wrist circles,arms
lower arms,weighted,wrist rollerer,arms
